customer_id,decision_date,tenure_months,age,spend_90d,transactions_90d,recency_days,digital_sessions_30d,merchant_diversity_90d,contacts_30d,complaints_180d,marketing_consent,lifecycle_segment,treatment,treatment_probability,treatment_name,converted_90d,future_spend_90d,gross_margin_90d,optout_90d,complaint_90d
47181,2025-11-01,40,29,1717.22,15,95,3,9,1,0,1,inativo,3,0.25,installment,0,1122.37,20.2,0,0
76713,2025-10-01,35,20,267.55,12,29,7,6,1,0,1,ocasional,2,0.25,double_points,1,678.76,12.22,0,0
67245,2026-05-01,112,18,298.66,15,6,5,3,3,0,1,ocasional,1,0.25,cashback,0,428.22,7.71,0,0
76900,2026-04-01,74,43,1029.15,11,50,7,3,2,0,1,em_risco,2,0.25,double_points,0,683.16,12.3,0,0
39173,2025-11-01,29,29,432.28,14,28,2,15,1,0,1,ocasional,1,0.25,cashback,0,232.84,4.19,0,0
68844,2025-02-01,81,51,939.32,10,11,2,11,4,0,1,ativo,0,0.25,no_contact,0,760.22,13.68,0,0
58600,2026-03-01,88,39,435.46,19,7,4,7,3,0,1,ocasional,2,0.25,double_points,0,446.53,8.04,0,0
8500,2026-03-01,42,43,689.12,8,0,3,3,2,0,1,ocasional,1,0.25,cashback,0,435.17,7.83,0,0
78460,2025-09-01,81,26,1010.67,13,21,2,13,3,0,1,ativo,3,0.25,installment,0,826.89,14.88,0,0
17531,2026-02-01,75,26,518.85,10,50,6,9,2,0,0,em_risco,3,0.25,installment,0,397.12,7.15,0,0
4215,2026-01-01,116,45,1027.06,16,63,3,8,0,1,1,em_risco,2,0.25,double_points,0,661.19,11.9,0,0
15149,2025-01-01,81,23,566.7,17,28,4,9,4,0,0,ocasional,2,0.25,double_points,0,560.4,10.09,0,0
39431,2025-12-01,82,72,699.1,10,10,8,4,1,0,1,ocasional,3,0.25,installment,0,489.1,8.8,0,0
19659,2026-01-01,65,34,369.39,9,50,5,12,2,0,1,em_risco,1,0.25,cashback,0,201.33,3.62,0,0
58752,2025-06-01,63,40,633.07,11,24,5,7,2,0,0,ocasional,1,0.25,cashback,1,1084.56,19.52,0,0
17272,2025-09-01,48,18,1622.57,15,24,3,5,1,0,1,ativo,0,0.25,no_contact,0,1124.75,20.25,0,0
43462,2025-10-01,20,68,318.96,13,15,5,6,3,0,0,ocasional,0,0.25,no_contact,0,355.18,6.39,0,0
67326,2025-12-01,1,18,851.02,11,11,3,4,1,0,1,novo,0,0.25,no_contact,0,576.6,10.38,0,0
32425,2025-10-01,66,50,277.83,18,30,1,13,1,0,1,ocasional,1,0.25,cashback,0,656.95,11.83,0,0
28971,2025-07-01,2,33,298.41,10,1,5,1,1,0,1,novo,1,0.25,cashback,0,326.3,5.87,0,0
72945,2025-01-01,102,48,416.61,15,13,2,13,3,0,1,ocasional,2,0.25,double_points,0,135.22,2.43,0,0
44655,2025-02-01,4,43,1312.21,14,11,6,8,1,0,1,ativo,2,0.25,double_points,0,830.91,14.96,0,0
77463,2026-02-01,73,24,1048.38,8,11,3,15,0,0,1,ativo,1,0.25,cashback,0,836.39,15.06,0,0
24558,2025-10-01,99,22,1128.49,8,13,2,5,1,0,1,ativo,2,0.25,double_points,0,480.13,8.64,0,0
26186,2025-09-01,120,62,626.94,10,4,2,8,2,0,1,ocasional,0,0.25,no_contact,0,701.56,12.63,0,0
17128,2025-05-01,58,28,675.03,7,3,2,13,0,0,1,ocasional,0,0.25,no_contact,0,239.91,4.32,0,0
73064,2025-12-01,59,18,1317.65,10,0,5,5,4,0,1,ativo,3,0.25,installment,0,732.19,13.18,0,0
26390,2025-07-01,75,59,1013.26,7,5,2,1,1,0,1,ativo,3,0.25,installment,0,668.53,12.03,0,0
18402,2025-03-01,27,48,1203.19,5,39,9,6,2,0,1,em_risco,0,0.25,no_contact,0,713.56,12.84,0,0
22302,2025-03-01,25,42,2159.44,16,32,9,13,3,0,1,em_risco,0,0.25,no_contact,0,1116.03,20.09,1,0
30335,2025-01-01,41,25,2358.39,13,2,4,12,1,0,1,ativo,2,0.25,double_points,0,1168.64,21.04,0,0
31803,2025-12-01,22,55,2102.82,14,9,6,15,3,0,1,ativo,1,0.25,cashback,1,1792.32,32.26,0,0
46207,2025-07-01,83,24,250.08,11,34,4,15,1,0,1,em_risco,2,0.25,double_points,0,559.53,10.07,0,0
21397,2025-08-01,86,37,1234.37,8,7,2,10,2,0,1,ativo,1,0.25,cashback,0,756.86,13.62,0,0
60492,2025-03-01,11,43,1292.49,14,2,3,15,2,0,1,ativo,0,0.25,no_contact,0,618.21,11.13,0,0
59194,2026-04-01,72,32,477.89,12,20,8,6,1,0,1,ocasional,3,0.25,installment,0,739.94,13.32,0,0
66526,2025-04-01,43,59,2273.24,15,16,3,4,1,0,1,ativo,0,0.25,no_contact,0,1641.94,29.55,0,0
32571,2026-02-01,63,35,385.08,19,33,1,4,1,0,0,em_risco,1,0.25,cashback,0,286.61,5.16,0,0
49135,2026-01-01,74,46,1069.79,15,0,3,5,1,0,1,ativo,3,0.25,installment,0,807.85,14.54,0,0
35042,2025-09-01,76,50,1415.29,14,0,8,5,1,0,1,ativo,0,0.25,no_contact,0,990.79,17.83,0,0
